run_id,group,algorithm,np,threads,nodes,ppn,total_cores,M,efConstruction,efSearch,k,test_queries,partition,cache_hit,recall,latency_us,bcast_us,search_avg_us,search_max_us,gather_us,merge_us,candidate_count_avg,work_min,work_avg,work_max,imbalance_ratio,build_avg_ms,build_max_ms,batch_time_ms,qps
45529.master_ubss1,HNSW-E,hnsw-shard-mpi,4,1,1,4,4,32,150,100,10,2000,block-id,0,0.999350,301.520109,1.195431,275.160968,292.435169,11.052847,1.260161,40.000000,25000,25000.000000,25000,1.000000,7556.800127,7833.701611,607.353687,3292.974163
45530.master_ubss1,HNSW-E,hnsw-shard-mpi,4,1,1,4,4,32,150,100,10,2000,block-id,1,0.999350,293.842673,1.729727,264.863700,283.042550,29.924393,1.401544,40.000000,25000,25000.000000,25000,1.000000,30.597031,32.071352,592.000723,3378.374253
45531.master_ubss1,HNSW-E,hnsw-shard-mpi,4,1,1,4,4,32,150,100,10,2000,block-id,1,0.999350,291.367888,1.596808,259.592831,279.906511,38.351417,1.257420,40.000000,25000,25000.000000,25000,1.000000,29.244244,30.988932,587.239504,3405.765428
45532.master_ubss1,HNSW-F,hnsw-shard-mpi,8,1,1,8,8,16,150,100,10,2000,block-id,1,0.999750,230.851054,1.375318,202.025905,219.288707,17.313004,1.591682,80.000000,12500,12500.000000,12500,1.000000,17.410189,18.091679,465.810061,4293.595544
45533.master_ubss1,HNSW-F,hnsw-shard-mpi,8,1,1,8,8,16,150,100,10,2000,block-id,1,0.999750,261.071444,1.246929,215.714380,250.456572,10.970712,1.562834,80.000000,12500,12500.000000,12500,1.000000,17.154396,17.546177,526.160479,3801.121676
45534.master_ubss1,HNSW-F,hnsw-shard-mpi,8,1,1,8,8,16,150,100,10,2000,block-id,1,0.999750,253.138065,1.209617,214.056671,242.297292,27.680039,1.658559,80.000000,12500,12500.000000,12500,1.000000,17.191976,17.853498,510.407448,3918.438120
45535.master_ubss1,HNSW-F,hnsw-shard-mpi,8,1,1,8,8,16,150,100,10,2000,block-id,1,0.999750,250.536203,1.231670,216.761395,240.549922,27.210712,1.638770,80.000000,12500,12500.000000,12500,1.000000,17.336041,17.925262,505.387306,3957.360969
45536.master_ubss1,HNSW-F,hnsw-shard-mpi,8,1,2,4,8,16,150,100,10,2000,block-id,0,0.999750,351.682067,20.843029,184.087858,217.447996,142.366529,2.129436,80.000000,12500,12500.000000,12500,1.000000,1228.800863,2481.283903,708.693027,2822.096341
45537.master_ubss1,HNSW-F,hnsw-shard-mpi,8,1,2,4,8,16,150,100,10,2000,block-id,1,0.999750,371.750951,21.041036,177.313536,203.261733,141.930699,2.116084,80.000000,12500,12500.000000,12500,1.000000,16.393155,16.984224,748.884201,2670.639863
45538.master_ubss1,HNSW-F,hnsw-shard-mpi,8,1,2,4,8,16,150,100,10,2000,block-id,1,0.999750,376.817465,22.071719,191.307351,221.566796,173.025012,2.140164,80.000000,12500,12500.000000,12500,1.000000,16.075015,17.000914,758.985281,2635.097215
45539.master_ubss1,HNSW-F,hnsw-shard-mpi,8,1,4,2,8,16,150,100,10,2000,block-id,0,0.999750,449.160099,27.886629,182.712123,238.294363,237.228155,2.142787,80.000000,12500,12500.000000,12500,1.000000,1921.053678,2859.600782,903.470278,2213.686547
45540.master_ubss1,HNSW-F,hnsw-shard-mpi,8,1,4,2,8,16,150,100,10,2000,block-id,1,0.999750,407.660127,34.296751,180.018872,229.123354,182.952285,2.653003,80.000000,12500,12500.000000,12500,1.000000,16.338021,17.844915,823.072910,2429.918389
45541.master_ubss1,HNSW-F,hnsw-shard-mpi,8,1,4,2,8,16,150,100,10,2000,block-id,1,0.999750,461.885095,25.531411,192.844301,246.818542,220.969677,2.241969,80.000000,12500,12500.000000,12500,1.000000,15.775740,17.247438,929.082632,2152.661056
